"address","infoSnippet","name","phone","rating","reviewSnippet","url","website"
,,"LemonBuyBack.com-Law Offices of Jon Jacobs","(916) 626-4164","5",,"https://www.yellowpages.com/nationwide/mip/lemonbuyback-com-law-offices-of-jon-jacobs-470783520?lid=1001872303330",
,,"Legal Aid Legal Services Corp","(844) 330-7981",,,"https://www.yellowpages.com/nationwide/mip/legal-aid-legal-services-corp-505997155?lid=1002124518541","http://www.legalaidlegalservices.org"
,,"LemonBuyBack.com-Law Offices of Jon Jacobs","(916) 626-4164","5","Bought a motor home in Fresno, CA on 7/21/18. From the very first day that we picked it up, it was nothing but problems. It was even crashed while being on the dealership's…","https://www.yellowpages.com/nationwide/mip/lemonbuyback-com-law-offices-of-jon-jacobs-470783520?lid=1001872303330","http://lemonbuyback.com"
"2339 Gold Meadow Way, Gold River, CA 95670","At BPE Law Group, we specialize in addressing the needs of individuals and business leaders in the greater Sacramento region. Whether you need help evaluating a…","BPE Law Group","(916) 546-4978",,,"https://www.yellowpages.com/gold-river-ca/mip/bpe-law-group-1005955?lid=219131114","http://www.bpelaw.com"
"2344 Tulare St, Fresno, CA 93721",,"Cowin, William L","(559) 445-1234",,,"https://www.yellowpages.com/fresno-ca/mip/cowin-william-l-10159043?lid=1002001517109",
"421 Boyd St, Vacaville, CA 95688","Nancy M. Nolte is a Certified Family Law Specialist whose practice is focused exclusively on family law issues. The Law and Mediation Offices of Nancy M. Nolte…","Law  And Mediation Office Of Nancy M Nolte","(707) 447-3700",,,"https://www.yellowpages.com/vacaville-ca/mip/law-and-mediation-office-of-nancy-m-nolte-1022244?lid=1001799134887","http://www.nancynoltelaw.com"
"500 La Terraza Blvd Ste 150, Escondido, CA 92025","We've provided legal services to property owners, landlords, tenants, and business owners for their real property and business needs involving contracts,…","Law Office of Wayne Templin","(760) 658-9288",,,"https://www.yellowpages.com/escondido-ca/mip/law-office-of-wayne-templin-10286362?lid=1002106059429","http://www.waynetemplinlaw.com"
"314 S Melrose Dr Ste 207, Vista, CA 92081","At the Law Office of Steven Medearis, we have more than a decade of experience helping clients throughout North San Diego take advantage of their rights in…","Medearis Steven B Law","(760) 630-2200",,,"https://www.yellowpages.com/vista-ca/mip/medearis-steven-b-law-1160611?lid=1000115350029","http://www.attorneymedearis.com"
"3100 Donald Douglas Loop N, Santa Monica, CA 90405","Local South Bay Attorney Specializing in Personal Injury and Property Damage - No Recovery - No Fee - All Civil Litigation - Real Estate Law - Business Contract…","Trabish Michael S Attorney At Law","(424) 331-0425",,,"https://www.yellowpages.com/santa-monica-ca/mip/trabish-michael-s-attorney-at-law-12283230?lid=1002166502046","http://www.trabishlaw.com"
"28 North First Street, Suite 400, San Jose, CA 95113","If you are in a situation where you need to sue someone, are being sued, have questions about alternative dispute resolution, need to collect on a judgment or…","John F. Bradley Jr. - California Attorney","(408) 998-2000",,,"https://www.yellowpages.com/san-jose-ca/mip/john-f-bradley-jr-california-attorney-12373705?lid=1002004641976","http://jfbatlaw.com"
"2329 India St, San Diego, CA 92101","Robert Bruce Arnold has been handling personal injury and insurance-related cases in San Diego for over 40 years. The firm’s practice areas include major…","Arnold Law Firm","(619) 233-1096",,,"https://www.yellowpages.com/san-diego-ca/mip/arnold-law-firm-12743959?lid=1002158813155","http://www.arnoldlawfirm.net"
"Fremont, CA 94539","Relax. You've found the site for the Law Office of Raymond F. Churchill, Attorney At Law, and we can help you. We offer a full range of elder law and estate…","Raymond F Churchill II, PLC","(510) 490-3810",,,"https://www.yellowpages.com/fremont-ca/mip/raymond-f-churchill-ii-plc-13098560?lid=1002166481801","http://www.raychurchill.com"
"25060 Avenue Stanford, Santa Clarita, CA 91355","For all misdemeanors and felonies, legal family issues and real estate problems, you deserve the expert legal assistance on which Law Offices Of Jonathan B.…","Law Offices Of Jonathan B. LaFrance PA","(661) 425-0145",,,"https://www.yellowpages.com/santa-clarita-ca/mip/law-offices-of-jonathan-b-lafrance-pa-1404805?lid=1002106210630","http://lawofficesofjonathanblafrance.com"
"1119 12th, Modesto, CA 95354","CERTIFIED FAMILY LAW SPECIALISTS, Over 70 Years of Experience, Practicing Family Law in California's Central Valley.","Goss & Goss A Professional Law Corp","(209) 576-1871",,,"https://www.yellowpages.com/modesto-ca/mip/goss-goss-a-professional-law-corp-1449536?lid=1002166405068","http://www.gossandgosslaw.com"
"415 Russell Ave, Santa Rosa, CA 95403",,"Hansen & Miller Law Firm","(707) 575-1040","5","great firm.  great people.""","https://www.yellowpages.com/santa-rosa-ca/mip/hansen-miller-law-firm-1459233?lid=1001994731280","https://www.hansenmiller.com"
"1500 W Shaw Ave, Fresno, CA 93711",,"Melissa A Proudian, Attorney At Law","(209) 227-3013","5","Melissa proudian will fight for if she feels like you need ssi she dose not give up she is very very good she got me what I been fighting for and I was fighting for years and…","https://www.yellowpages.com/fresno-ca/mip/melissa-a-proudian-attorney-at-law-15289383?lid=1002122491089","http://www.proudianlaw.com"
"100 N Citrus St Ste 520, West Covina, CA 91791","We can help you in a variety of areas, including:Probate Law ,Wills & Trusts, Estate Planning, Asset Protection ,Wealth Transfer Strategies, Will Contests,…","Ebiner Law Office","(626) 915-1907",,,"https://www.yellowpages.com/west-covina-ca/mip/ebiner-law-office-15295680?lid=1002004385633","http://www.westcovinatrustslawyers.com"
"1682 Novato Blvd., Suite 250, Novato, CA 94947","We Specialize in Wills, Trust, Probate, Trust Administration, Civil Litigation, Real Estate Law and Business Law.","Michael Spalding Attorney At Law","(415) 892-4848",,,"https://www.yellowpages.com/novato-ca/mip/michael-spalding-attorney-at-law-15596234?lid=1002109797422",
"1901 W Pacific Ave Ste 260, West Covina, CA 91790","WEST COVINA CAR AND TRUCK ACCIDENT LAWYERSPomona Personal Injury AttorneysAttorney Mauro Fiore, Jr., our firm's founder, is a well-known and highly regarded…","Law Offices Of Mauro Fiore Jr.","(909) 296-7836",,,"https://www.yellowpages.com/west-covina-ca/mip/law-offices-of-mauro-fiore-jr-17202727?lid=1000061643555","http://www.fiorelegal.calls.net"
"100 M St, Eureka, CA 95501","Attorneys *Laurence A. Kluck *Kelly M. Walsh *Timothy J. Wykle","Mathews Kluck Walsh & Wykle","(707) 273-6686",,,"https://www.yellowpages.com/eureka-ca/mip/mathews-kluck-walsh-wykle-1799322?lid=1002051949228","http://www.mkwwlaw.com"
"5115 Avenida Encinas Ste L, Carlsbad, CA 92008","BHA, established in 1985 and based in Carlsbad, Calif., is a professional land planning, civil engineering and land-surveying firm. It has a wide range of…","BHA","(760) 931-8700",,,"https://www.yellowpages.com/carlsbad-ca/mip/bha-1923533?lid=1002029112269","http://www.bhaincsd.com"
"924 Anacapa St Suite 1M, Santa Barbara, CA 93101","Law Offices of Karen L. Grant provides quality bankruptcy and debt relief services to clients at a reasonable cost. We have been in business since 1985. We hope…","Law Offices of Karen L. Grant","(805) 962-4413",,,"https://www.yellowpages.com/santa-barbara-ca/mip/law-offices-of-karen-l-grant-1958318?lid=1002166505409","http://www.karenlgrant.com"
"900 G St,, Modesto, CA 95354","At the Imburg Law Firm, we take your case seriously. If you have been injured in an accident or have an insurance claim that is being delayed or denied, you have…","Imburg Law Firm","(209) 577-6666",,,"https://www.yellowpages.com/modesto-ca/mip/imburg-law-firm-1979917?lid=1001452646873",
"949 E Yorba Linda Blvd, Placentia, CA 92870","We are Top Orange County Personal Injury Attorneys who are committed to providing the best legal representation to injured individuals in the Orange County area…","The Law Offices of Kennith L. Peterson","(714) 572-1080",,,"https://www.yellowpages.com/placentia-ca/mip/the-law-offices-of-kennith-l-peterson-21936454?lid=1002150477480","http://www.klplaw.com"
"2300 Tulare St Ste 235, Fresno, CA 93721",,"Bobadilla Jessica Smith Law Office Of","(559) 264-2500","5","I WOULD LIKE TO KNOW HOW MANY CASE YOU HAVE WON IN THE LAST 5 YEARS.""","https://www.yellowpages.com/fresno-ca/mip/bobadilla-jessica-smith-law-office-of-21954321?lid=1002073737158","https://www.attorneyjessica.com"
"655 W 19th St, Merced, CA 95340","The State Bar of Californias mission is to protect the public and includes the primary functions of licensing, regulation and discipline of attorneys; the…","Garcia  John A,CALIFORNIA","(209) 723-2170",,,"https://www.yellowpages.com/merced-ca/mip/garcia-john-a-california-21968312?lid=1000088509435","http://www.johngarcialaw.com"
"509 Marin St, Ste 122, Thousand Oaks, CA 91360","We are dedicated to providing you with high quality representation that is personalized to meet the needs of your particular case. The caring and experienced…","Susan H Witting Law Office","(805) 777-7371",,,"https://www.yellowpages.com/thousand-oaks-ca/mip/susan-h-witting-law-office-21994616?lid=1002105047977","http://www.shwfamilylaw.com"
"613 D St, Marysville, CA 95901",,"Law Offices of Roberto Marquez","(530) 749-8766","5","All of the above to talk about what to do with the people if a person leaves and you. Look for that persom its not your fault its theirs""","https://www.yellowpages.com/marysville-ca/mip/law-offices-of-roberto-marquez-22912519?lid=171673260","http://www.robertomarquez.com/"
"1 World Trade Ctr, Ste 400, Long Beach, CA 90831","The Law Office of Susan Wise, located in Long Beach, with over 30 Years of Legal Experience, Specializes in Business Law, Employment Law, and Mediation. Please…","Susan E Wise Law Offices","(562) 513-6482",,,"https://www.yellowpages.com/long-beach-ca/mip/susan-e-wise-law-offices-23294399?lid=1002166321081","http://www.susanwiselaw.com"
,"AAA Transcription, LLC, provides the following services: Medical transcription, editing of voice recognized documents, general transcription including legal,…","AAA  Transcription LLC","(763) 783-0006",,,"https://www.yellowpages.com/east-bethel-mn/mip/aaa-transcription-llc-2398911?lid=1002004690436","https://www.aaatranscription.com"
"1901 W Pacific Ave, West Covina, CA 91790",,"Law Offices Of Mauro Fiore Jr.","(626) 856-5856","2.5","Great service! I totally recommend Mr. Fiore. I was not expecting my settlement to be so much, I'm truly happy! The paralegals were very courteous and always made sure my…","https://www.yellowpages.com/west-covina-ca/mip/law-offices-of-mauro-fiore-jr-2900442?lid=1002004597262","http://www.covinaattorneyatlaw.com"
"1327 N Broadway, Santa Ana, CA 92706",,"Baziak & Steevens","(714) 547-5184","5","Baziak and Chaundra Rohny - These two people had saved my life when I was injured.  They had helped me with a difficult situation.  If I ever have another injury at work I will…","https://www.yellowpages.com/santa-ana-ca/mip/baziak-steevens-2944954?lid=1000540194750","http://www.baziakandsteevens.com"
"301 E Cook St, Ste B1, Santa Maria, CA 93454","Providing legal services for Real Estate Law, Elder Law, landlord & Tenant Law, Probate Law, and Wills, Trust & Estates Planning Law. Please call today for a…","Milder Jonathan Law Offices","(805) 928-6008",,,"https://www.yellowpages.com/santa-maria-ca/mip/milder-jonathan-law-offices-30363403?lid=1002166345117",
"Vista, CA 92084",,"Lawyer Referral Service of the Bar Association of N San Diego County","(760) 659-2227","3.5","The LRS counselors are very helpful and professional!""","https://www.yellowpages.com/vista-ca/mip/lawyer-referral-service-of-the-bar-association-of-n-san-diego-county-3057810?lid=1001501594051","http://www.lawreferral.org"
"5030 Camino De La Siesta, San Diego, CA 92108",,"Donald R. Holben & Associates, APC","(619) 220-7122","5","I want to shout the praises of the Holben Law Firm, especially the guidance of Eugene Long.  I filed a wrongful termination suit, and Gene worked with me throughout the whole…","https://www.yellowpages.com/san-diego-ca/mip/donald-r-holben-associates-apc-3249482?lid=1002004389642","http://www.sandiegotrialattorneys.com"
"2 Theatre Sq, Orinda, CA 94563","Call for immediate appointment or for FREE LEGAL ADVICE regarding any personal injury, insurance claim or workers' compensation claim. HOME/HOSPITAL APPOINTMENTS…","Mastrangelo Law Offices","(925) 257-0978",,,"https://www.yellowpages.com/orinda-ca/mip/mastrangelo-law-offices-3668533?lid=1002070472388","http://mastrangelolawoffices.com"
"9663 Tierra Grande, San Diego, CA 92126",,"Beatrice Snider Law Offices","(858) 566-6650","5","Beatrice Snider's experienced and professional firm did an excellent job of handling my family law case. They explained the legal strategies and processes, and were very…","https://www.yellowpages.com/san-diego-ca/mip/beatrice-snider-law-offices-3899691?lid=1002004615206","http://www.blsapc.com"
"220 Montgomery St Ste 678, San Francisco, CA 94104","Since 1991, Catherine Yee, Attorney At Law, has been in the practice of Estate Planning and Probate law in San Francisco. She has represented scores of clients…","Catherine Yee Attorney At Law","(628) 400-4914",,,"https://www.yellowpages.com/san-francisco-ca/mip/catherine-yee-attorney-at-law-4175794?lid=1002164759749","https://www.catherineyeelaw.com"
"21515 Hawthorne Blvd, Ste 1150, Torrance, CA 90503","* Payment Plans Available * Reasonable Fees * Evening & Weekend Appointments Available * **Free Initial Consultation**","David J Workman Law Office","(310) 543-1151",,,"https://www.yellowpages.com/torrance-ca/mip/david-j-workman-law-office-4271237?lid=1002153363136","http://www.davidjworkman.com"
"1860 Howe Ave Ste 220, Sacramento, CA 95825","Disability Action Advocates (DAA) has been helping individuals fight for the disability benefits they need for over 20 years. From the initial application to the…","Disability Actions Advocates","(916) 568-1100","5",,"https://www.yellowpages.com/sacramento-ca/mip/disability-actions-advocates-452295892?lid=1002018147008","http://sacramentosocialsecuritydisability.com"
"465 California St Ste 222, San Francisco, CA 94104","2012 Northern California Super Lawyers","Abelson Mark B","(628) 400-4766",,,"https://www.yellowpages.com/san-francisco-ca/mip/abelson-mark-b-453560792?lid=1001973346446","http://www.caclaw.com/"
"1000 Paseo Camarillo, Camarillo, CA 93010","Local Personal Injury & Workers' Compensation Attorney. Truck & Auto Accidents, Personal Injuries, & Workers' Compensation. If we don't win, you don't pay. Over…","Kelley Robert Attorney at Law","(805) 764-1862",,,"https://www.yellowpages.com/camarillo-ca/mip/kelley-robert-attorney-at-law-453634282?lid=1002166465773","https://www.robertkelleyinjurylawyer.com"
"520 13th St, Modesto, CA 95354",,"Hillenbrand John-Criminal Defense","(209) 577-1190",,,"https://www.yellowpages.com/modesto-ca/mip/hillenbrand-john-criminal-defense-455005543?lid=1002073513238","http://www.notguilty209.com"
"227 E Branch St, Arroyo Grande, CA 93420",,"Zimmerman Inc. Michael E Law Offices of","(805) 668-3756","1","Do not use check with other attorneys in the area about this one. He has caused our family trust a lot of problems. A lot of attorneys in the area have to clean up his messes,…","https://www.yellowpages.com/arroyo-grande-ca/mip/zimmerman-inc-michael-e-law-offices-of-4559953?lid=1000970055421","http://www.michaelezimmerman.com"
"2533 S Coast Highway 101, Cardiff By The Sea, CA 92007",,"Hallen  C Bradley Attorney At Law","(760) 652-9786","5","Do you need a personal injury attorney?  ... make sure they are specialized in your area of need..and, of course, you'd  want EXPERIENCE (like 45 years...-and a plus- working…","https://www.yellowpages.com/cardiff-by-the-sea-ca/mip/hallen-c-bradley-attorney-at-law-456884281?lid=1002166364595","http://www.hallenlawfirm.com"
"2511 Garden Rd, Ste A230, Monterey, CA 93940","Elder law is a vast area of the law and can affect many areas of elder life. If your mother needs immediate nursing home care, can she afford it? If your father…","Law Office Of Sara Senger","(831) 646-5424",,,"https://www.yellowpages.com/monterey-ca/mip/law-office-of-sara-senger-457419198?lid=1001616289357",
